name	type	primary	secondary	equipment	mechanics	level	force
"Bent Over Barbell Row A.K.A Bent-Over Row, Bent Over Row, Barbell Row "	Strength	MiddleBack	"Biceps,Lats,Shoulders"	Barbell	Compound	Beginner	Pull
Bent Over Dumbbell Rear Delt Raise With Head On Bench A.K.A Bent-Over Dumbbell Rear Delt Raise With Head On Bench 	Strength	Shoulders	N/A	Dumbbell	Isolation	Beginner	Pull
"Bent Over Low-Pulley Side Lateral A.K.A rear delt cable raise, rear delt raise "	Strength	Shoulders	"LowerBack,MiddleBack,Traps"	Cable	Isolation	Beginner	Pull
"Bent Over One-Arm Long Bar Row A.K.A Bent-Over One Arm T-Bar Row, Single-Arm Row, Single Arm Row "	Strength	MiddleBack	"Biceps,Lats,LowerBack,Traps"	Barbell	Compound	Beginner	Pull
Bent Over Two-Arm Long Bar Row A.K.A T-Bar Row 	Strength	MiddleBack	"Biceps,Lats"	Barbell	Compound	Intermediate	Pull
"Bent Over Two-Dumbbell Row A.K.A dumbbell row, bent-over dumbbell row, bent over row "	Strength	MiddleBack	"Biceps,Lats,Shoulders"	Dumbbell	Compound	Beginner	Pull
"Bent Over Two-Dumbbell Row With Palms In A.K.A bent-over row, neutral grip dumbbell row "	Strength	MiddleBack	"Biceps,Lats"	Dumbbell	Compound	Beginner	Pull
Bent Press 	Strength	Abdominals	"Glutes,Hamstrings,LowerBack,Quadriceps,Shoulders,Triceps"	Kettlebells	Compound	Expert	Pull
Bent-Arm Barbell Pullover 	Strength	Lats	"Chest,Lats,Shoulders,Triceps"	Barbell	Compound	Intermediate	Pull
Bent-Arm Dumbbell Pullover 	Strength	Chest	"Lats,Shoulders,Triceps"	Dumbbell	Compound	Intermediate	Push
Bent-Knee Hip Raise A.K.A reverse crunch 	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Biceps Curl To Shoulder Press 	Strength	Biceps	"Biceps,Shoulders,Triceps"	Dumbbell	Compound	Intermediate	Pull
Bicycling 	Cardio	Quadriceps	"Calves,Glutes,Hamstrings"	Other	N/A	Beginner	N/A
"Bicycling, Stationary A.K.A stationary bike "	Cardio	Quadriceps	"Calves,Glutes,Hamstrings"	Machine	N/A	Beginner	N/A
Board Press 	Powerlifting	Triceps	"Chest,Forearms,Lats,Shoulders"	Barbell	Compound	Intermediate	Push
Body Tricep Press 	Strength	Triceps	N/A	None	Isolation	Beginner	Push
Body Triceps Press Using Flat Bench 	Strength	Triceps	"Abdominals,Shoulders"	Other	Compound	Intermediate	Push
Body-Up 	Strength	Triceps	"Chest,Shoulders"	None	Isolation	Intermediate	Push
Bodyweight Flyes 	Strength	Chest	"Abdominals,Shoulders,Triceps"	E-Z Curl Bar	Isolation	Intermediate	Push
Bodyweight Lunge 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	None	Compound	Beginner	Push
Bodyweight Mid Row 	Strength	MiddleBack	"Biceps,Lats"	Other	Compound	Intermediate	Pull
Bodyweight Reverse Lunge 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	None	Compound	Beginner	Push
"Bodyweight Squat A.K.A prisoner squat, air squat "	Strength	Quadriceps	"Glutes,Hamstrings"	None	Compound	Beginner	Push
Bodyweight Walking Lunge 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	None	Compound	Beginner	Push
Bosu Ball Cable Crunch With Side Bends 	Strength	Abdominals	N/A	Cable	Isolation	Beginner	Pull
Bosu Ball Crunch 	Strength	Abdominals	N/A	Exercise Ball	Compound	Beginner	Pull
Bosu Ball Push-Up 	Strength	Chest	"Shoulders,Triceps"	Exercise Ball	Compound	Intermediate	Push
Bosu Ball Squat 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Exercise Ball	Compound	Intermediate	Push
Bottoms Up 	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Bottoms-Up Clean From The Hang Position 	Strength	Forearms	"Biceps,Shoulders"	Kettlebells	Compound	Intermediate	Pull
Box Jump (Multiple Response) A.K.A front box jump 	Plyometrics	Hamstrings	"Abductors,Adductors,Calves,Glutes,Quadriceps"	Other	Compound	Beginner	Push
Box Skip 	Plyometrics	Hamstrings	"Abductors,Adductors,Calves,Glutes,Quadriceps"	Other	Compound	Beginner	Push
Box Squat 	Powerlifting	Quadriceps	"Adductors,Calves,Glutes,Hamstrings,LowerBack"	Barbell	Compound	Intermediate	Push
Box Squat with Bands 	Powerlifting	Quadriceps	"Abductors,Adductors,Calves,Glutes,Hamstrings,LowerBack"	Barbell	Compound	Expert	Push
Box Squat with Chains 	Strength	Quadriceps	"Abductors,Adductors,Calves,Glutes,Hamstrings,LowerBack"	Barbell	Compound	Expert	Push
Brachialis-SMR A.K.A Bicep Foam Roll 	Stretching	Biceps	N/A	Foam Roll	N/A	Intermediate	Static
"Bradford/Rocky Presses A.K.A Bradford Press, Rocky Press, Alternating Shoulder Press, Seated Barbell Press "	Strength	Shoulders	Triceps	Barbell	Compound	Beginner	Push
Burpee A.K.A Burpees 	Cardio	Quadriceps	"Calves,Chest,Hamstrings,Shoulders,Triceps"	None	Compound	Intermediate	Push
Burpee Over Barbell 	Plyometrics	Quadriceps	"Calves,Chest,Glutes,Hamstrings,Triceps"	Barbell	Compound	Intermediate	Push
Burpee Pull-Up 	Plyometrics	Lats	"Biceps,Calves,Glutes,Hamstrings,Lats"	Other	Compound	Expert	Pull
Burpee To Medicine Ball Press 	Strength	Chest	"Glutes,Hamstrings,Quadriceps,Shoulders,Triceps"	Medicine Ball	Compound	Intermediate	Push
Butt Kicks 	Cardio	Quadriceps	"Calves,Hamstrings"	None	N/A	Beginner	Pull
"Butt Lift (Bridge) A.K.A hip thrust, glute bridge "	Strength	Glutes	Hamstrings	None	Isolation	Beginner	Push
Butt-Ups 	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
"Butterfly A.K.A Pec Deck, Pec Deck Fly "	Strength	Chest	N/A	Machine	Isolation	Beginner	Pull
Cable Chest Press A.K.A Freemotion Chest Press 	Strength	Chest	"Shoulders,Triceps"	Cable	Compound	Beginner	Push
Cable Crossover A.K.A Standing Cable Crossovers 	Strength	Chest	Shoulders	Cable	Isolation	Beginner	Push
Cable Crunch 	Strength	Abdominals	N/A	Cable	Isolation	Beginner	Pull
Cable Deadlifts 	Strength	Quadriceps	"Forearms,Glutes,Hamstrings,LowerBack"	Cable	Compound	Beginner	Pull
Cable Hammer Curls - Rope Attachment 	Strength	Biceps	N/A	Cable	Isolation	Beginner	Pull
Cable Hip Adduction 	Strength	Quadriceps	N/A	Cable	Isolation	Beginner	Pull
Cable Incline Pushdown 	Strength	Lats	N/A	Cable	Isolation	Beginner	Pull
Cable Incline Triceps Extension 	Strength	Triceps	N/A	Cable	Isolation	Beginner	Push
Cable Internal Rotation 	Strength	Shoulders	N/A	Cable	Compound	Beginner	Pull
Cable Iron Cross 	Strength	Chest	N/A	Cable	Isolation	Beginner	Push
Cable Judo Flip 	Strength	Abdominals	N/A	Cable	Compound	Beginner	Pull
Cable Lying Triceps Extension 	Strength	Triceps	N/A	Cable	Isolation	Beginner	Push
Cable One Arm Tricep Extension 	Strength	Triceps	N/A	Cable	Isolation	Beginner	Push
Cable Preacher Curl A.K.A Cable Scott Curl 	Strength	Biceps	Forearms	Cable	Isolation	Beginner	Pull
Cable Rear Delt Fly A.K.A High Cable Fly 	Strength	Shoulders	N/A	Cable	Isolation	Beginner	Pull
Cable Reverse Crunch 	Strength	Abdominals	N/A	Cable	Isolation	Beginner	Pull
Cable Rope Overhead Triceps Extension A.K.A Rope Triceps Extension 	Strength	Triceps	N/A	Cable	Isolation	Beginner	Push
"Cable Rope Rear-Delt Rows A.K.A Rear Delt Row, Rear Delt Cable Row "	Strength	Shoulders	"Biceps,MiddleBack"	Cable	Compound	Beginner	Pull
Cable Russian Twists A.K.A Stability Ball Abdominal Twist 	Strength	Abdominals	N/A	Cable	Compound	Beginner	Pull
Cable Seated Crunch 	Strength	Abdominals	N/A	Cable	Isolation	Beginner	Pull
"Cable Seated Lateral Raise A.K.A Seated Cable Rear Delt Fly, Rear Delt Cable Fly "	Strength	Shoulders	"MiddleBack,Traps"	Cable	Isolation	Beginner	Pull
Cable Shoulder Press A.K.A Standing Shoulder Press with Cables 	Strength	Shoulders	Triceps	Cable	Compound	Beginner	Push
Cable Shrugs 	Strength	Traps	N/A	Cable	Isolation	Beginner	Pull
Cable Wrist Curl 	Strength	Forearms	N/A	Cable	Isolation	Beginner	Pull
"Calf Press A.K.A Machine Calf Raise, Toe Press "	Strength	Calves	N/A	Machine	Isolation	Beginner	Push
"Calf Press On The Leg Press Machine A.K.A Calf Press, Calf Raises Performed on Leg Press Machine "	Strength	Calves	N/A	Machine	Isolation	Beginner	Push
Calf Raise On A Dumbbell A.K.A Single Calf Raise 	Strength	Calves	N/A	Dumbbell	Isolation	Intermediate	Push
Calf Raises - With Bands 	Strength	Calves	N/A	Bands	Isolation	Beginner	Push
Calf Stretch Elbows Against Wall 	Stretching	Calves	N/A	None	Isolation	Beginner	Static
Calf Stretch Hands Against Wall 	Stretching	Calves	N/A	None	Isolation	Beginner	Static
"Calf-Machine Shoulder Shrug A.K.A Machine Shoulder Shrug, Shrug on Calf Machine "	Strength	Traps	N/A	Machine	Isolation	Beginner	Pull
Calves-SMR A.K.A Foam Roll Calves 	Stretching	Calves	N/A	Foam Roll	N/A	Intermediate	Static
Car Deadlift A.K.A Deadlift Apparatus 	Strongman	Quadriceps	"Forearms,Glutes,Hamstrings,LowerBack,Traps"	Other	Compound	Intermediate	Pull
Car Drivers 	Strength	Shoulders	Forearms	Barbell	Isolation	Beginner	Push
Carioca Quick Step 	Plyometrics	Adductors	"Abdominals,Abductors,Calves,Glutes,Hamstrings,Quadriceps"	None	N/A	Beginner	N/A
Cat Stretch A.K.A Back Stretch 	Stretching	LowerBack	"MiddleBack,Traps"	None	N/A	Beginner	Static
Catch and Overhead Throw A.K.A Medicine Ball Throw 	Plyometrics	Lats	"Abdominals,Chest,Shoulders"	Medicine Ball	Compound	Beginner	Push
Chain Handle Extension A.K.A Tricep Extension with Chains 	Powerlifting	Triceps	N/A	Other	Isolation	Intermediate	Push
Chain Press 	Powerlifting	Chest	"Shoulders,Triceps"	Other	Compound	Intermediate	Push
Chair Leg Extended Stretch 	Stretching	Hamstrings	Adductors	Other	Isolation	Beginner	Static
Chair Lower Back Stretch 	Stretching	Lats	LowerBack	None	Isolation	Beginner	Static
Chair Squat A.K.A Smith Machine Squat 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Machine	Compound	Beginner	Push
Chair Upper Body Stretch 	Stretching	Shoulders	"Biceps,Chest"	Other	N/A	Beginner	Static
Chest And Front Of Shoulder Stretch A.K.A broomstick stretch 	Stretching	Chest	Shoulders	Other	Isolation	Beginner	Static
Chest Push (multiple response) A.K.A Kneeling Medicine Ball Throw 	Plyometrics	Chest	"Abdominals,Shoulders,Triceps"	Medicine Ball	Compound	Beginner	Push
Chest Push (single response) A.K.A Kneeling Medicine Ball Throw 	Plyometrics	Chest	"Abdominals,Shoulders,Triceps"	Medicine Ball	Compound	Beginner	Push
Chest Push from 3 point stance A.K.A Medicine Ball Throw; Medicine Ball Snap 	Plyometrics	Chest	"Abdominals,Shoulders,Triceps"	Medicine Ball	Compound	Beginner	Push
Chest Push with Run Release A.K.A Medicine Ball Throw with Sprint 	Plyometrics	Chest	"Abdominals,Shoulders,Triceps"	Medicine Ball	Compound	Beginner	Push
Chest Stretch on Stability Ball A.K.A Stability Ball Pec Stretch 	Stretching	Chest	N/A	Exercise Ball	Isolation	Beginner	Static
Child's Pose 	Stretching	LowerBack	"Glutes,MiddleBack"	None	N/A	Beginner	Static
Chin To Chest Stretch A.K.A Neck Stretch 	Stretching	Neck	Traps	None	N/A	Beginner	Static
"Chin-Up A.K.A Chinup, Chin Up "	Strength	Lats	"Biceps,Forearms,MiddleBack"	None	Compound	Beginner	Pull
Circus Bell A.K.A Fat Dumbbell Press 	Strongman	Shoulders	"Forearms,Glutes,Hamstrings,LowerBack,Traps,Triceps"	Other	Compound	Expert	Push
Clam 	Strength	Abductors	N/A	None	Isolation	Beginner	Push
Clapping Push-Up 	Plyometrics	Chest	"Shoulders,Triceps"	None	Compound	Intermediate	Push
Clean A.K.A Squat Clean 	OlympicWeightlifting	Hamstrings	"Calves,Forearms,Glutes,LowerBack,Quadriceps,Shoulders,Traps"	Barbell	Compound	Intermediate	Pull
Clean and Jerk 	OlympicWeightlifting	Shoulders	"Abdominals,Glutes,Hamstrings,LowerBack,Quadriceps,Traps,Triceps"	Barbell	Compound	Expert	Push
Clean and Press 	Strength	Shoulders	"Abdominals,Calves,Glutes,Hamstrings,LowerBack,MiddleBack,Quadriceps,Shoulders,Traps,Triceps"	Barbell	Compound	Intermediate	Push
Clean Deadlift A.K.A Clean-grip Deadlift 	OlympicWeightlifting	Hamstrings	"Forearms,Glutes,LowerBack,MiddleBack,Quadriceps,Traps"	Barbell	Compound	Beginner	Pull
Clean from Blocks A.K.A Clean from Boxes 	OlympicWeightlifting	Quadriceps	"Calves,Glutes,Hamstrings,Shoulders,Traps"	Barbell	Compound	Intermediate	Pull
Clean Pull A.K.A Clean High Pull 	OlympicWeightlifting	Quadriceps	"Forearms,Glutes,Hamstrings,LowerBack,Traps"	Barbell	Compound	Intermediate	Pull
Clean Shrug 	OlympicWeightlifting	Traps	"Forearms,Shoulders"	Barbell	Compound	Beginner	Pull
Clock Push-Up 	Strength	Chest	"Shoulders,Triceps"	None	Compound	Intermediate	Push
Close-Grip Barbell Bench Press A.K.A Close Grip Bench 	Strength	Triceps	"Chest,Shoulders"	Barbell	Compound	Beginner	Push
Close-Grip Dumbbell Press A.K.A Close-Grip Bench Press with Dumbbell 	Strength	Triceps	"Chest,Shoulders"	Dumbbell	Compound	Beginner	Push
Close-Grip EZ Bar Curl 	Strength	Biceps	Forearms	Barbell	Isolation	Beginner	Pull
Close-Grip EZ-Bar Curl with Band 	Strength	Biceps	Forearms	E-Z Curl Bar	Isolation	Beginner	Pull
Close-Grip EZ-Bar Press 	Strength	Triceps	"Chest,Shoulders"	E-Z Curl Bar	Compound	Beginner	Push
Close-Grip Front Lat Pulldown 	Strength	Lats	"Biceps,MiddleBack,Shoulders"	Cable	Compound	Beginner	Pull
Close-Grip Push-Up off of a Dumbbell 	Strength	Triceps	"Abdominals,Chest,Shoulders"	None	Compound	Intermediate	Push
Close-Grip Standing Barbell Curl 	Strength	Biceps	Forearms	Barbell	Isolation	Beginner	Pull
Close-Hands Push-Up 	Strength	Chest	"Shoulders,Triceps"	None	Compound	Beginner	Push
Close-Stance Dumbbell Front Squat 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Dumbbell	Compound	Beginner	Push
Cobra Triceps Extension 	Strength	Triceps	Chest	None	Compound	Intermediate	Push
Cocoons 	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
"Conan's Wheel A.K.A Conans, Wheel of Pain "	Strongman	Quadriceps	"Abdominals,Biceps,Calves,Forearms,LowerBack,Shoulders,Traps"	Other	Compound	Intermediate	N/A
Concentration Curls 	Strength	Biceps	Forearms	Dumbbell	Isolation	Beginner	Pull
Cross Body Hammer Curl 	Strength	Biceps	Forearms	Dumbbell	Isolation	Beginner	Pull
Cross Crunch 	Strength	Abdominals	N/A	None	N/A	Beginner	Pull
Cross Over - With Bands A.K.A Band Cross Over 	Strength	Chest	"Biceps,Shoulders"	Bands	Compound	Beginner	Push
Cross-Body Crunch 	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Crossover Reverse Lunge 	Stretching	LowerBack	"Abdominals,Abductors,Glutes,Hamstrings,Quadriceps"	None	N/A	Intermediate	Pull
Crucifix 	Strongman	Shoulders	Forearms	Other	Isolation	Beginner	Static
Crunch - Hands Overhead 	Strength	Abdominals	N/A	None	Isolation	Beginner	Pull
Crunch - Legs On Exercise Ball A.K.A Crunches on Exercise Ball 	Strength	Abdominals	N/A	None	Isolation	Beginner	Pull
Crunches 	Strength	Abdominals	N/A	None	Isolation	Beginner	Pull
